CD_LOC;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP
SP00208;EMEE ANNE SULLIVAN;RUA RODRIGUES PAIS, 512;CHACARA SANTO ANTONIO (ZONA SUL);4717020
SP00209;EMEF. CARLOS DE ANDRADE RIZZINI;RUA OMAR CARDOSO, 99;SANTO AMARO;4747050
SP00210;EMEF. JOÃO GUALBERTO DO AMARAL CARVALHO;RUA JOÃO FRANCO DE OLIVEIRA, 150;CAMPO GRANDE;4678100
SP00211;EMEF. HEITOR DE ANDRADE;AVENIDA IPANEMA, 642;VELEIROS;4773010
SP00212;EE. PROF. JOSÉ GERALDO DE LIMA;R ANTONIO MARIANO, 254;VILA FRIBURGO;4784000
SP00213;EMEF. PLÁCIDO DE CASTRO;RUA ANTONIO MESQUITA PEREIRA, 78;VILA FRIBURGO;4782080
SP00214;EE. CALHIM MANOEL ABUD;RUA OSCAR FERNANDES, S/N;VILA CALIFÓRNIA;4775090
SP00215;EMEI. CARLOS DRUMOND DE ANDRADE;RUA JAIME SCHUNK BRANCO, 89;SOCORRO;4760010
SP00216;EMEI. CLARA NUNES;RUA DEPUTADO ADIB CHAMMAS, 104;VELEIROS;4773170
SP00217;EMEI. VIRIATO CORREIA;RUA BENTO RODRIGUES BASTOS, 25;VILA FRIBURGO;4782040
SP00218;EE . PROF. ITÚRBIDES BOLIVAR DE ALMEIDA SERRA;AVENIDA DE PINEDO, 777;SOCORRO;4764001
